"locality","zone_code","zone_name","zone_category"
"Danville","SR","Sandy River Residential","Residential"
"Danville","TR","Threshold Residential","Residential"
"Danville","SR","Suburban Residential","Residential"
"Danville","NTR","Neo-Traditional Residential","Residential"
"Danville","OTR","Old Town Residential","Residential"
"Danville","AR","Attached Residential","Residential"
"Danville","MR","Multi-family Residential","Residential"
"Danville","MHP","Manufactured Home Park","Residential"
"Danville","TOC","Transitional Office","Office/Commercial"
"Danville","NC","Neighborhood Commercial","Commercial"
"Danville","CBC","Central Business Commercial","Commercial"
"Danville","TWC","Tobacco Warehouse Commercial","Commercial"
"Danville","HRC","Highway Retail Commercial","Commercial"
"Danville","PSC","Planned Shopping Center Commercial","Commercial"
"Danville","LEDI","Light Economic Development","Industrial"
"Danville","CP1","Cyber Park One","Industrial"
"Danville","MI","Manufacturing","Industrial"
"Danville","HPO","Historic Preservation Overlay","Overlay"
"Danville","AO","Airport Overlay","Overlay"
"Danville","FPO","Floodplain Overlay","Overlay"
"Danville","PSCO","Planned Shopping Center Overlay","Overlay"
"Danville","CE","Casino Entertainment","Special"
"Danville","RDO","River District Overlay","Overlay"
"Henry County","A1","Agricultural District","Agricultural"
"Henry County","RR","Rural Residential District","Residential"
"Henry County","MR","Mixed Residential District","Residential"
"Henry County","SR","Suburban Residential District","Residential"
"Henry County","B3","Office and Professional District","Commercial"
"Henry County","B2","Neighborhood Commercial District","Commercial"
"Henry County","B1","General Commercial District","Commercial"
"Henry County","I2","Limited Industrial District","Industrial"
"Henry County","I1","Industrial District","Industrial"
"Henry County","GS","Government and Special Use District","Government/Special"
"Henry County","CO","Conservation Overlay District","Overlay"
"Henry County","AO","Airport Overlay District","Overlay"
"Martinsville","R-E","Estate Residential District","Residential"
"Martinsville","R-N","Neighborhood Residential District","Residential"
"Martinsville","R-C","City Residential District","Residential"
"Martinsville","R-T","Residential Transitional District","Residential"
"Martinsville","C-N","Neighborhood Commercial District","Commercial"
"Martinsville","C-UB","Uptown Business District","Commercial"
"Martinsville","C-C","Corridor Commercial District","Commercial"
"Martinsville","ED-MA","Economic Development District-Medical and Academic","Economic Development"
"Martinsville","ED-G","Economic Development District-General","Economic Development"
"Martinsville","ED-I","Economic Development District-Intensive","Economic Development"
"Pittsylvania County","A-1","Agricultural District","Agricultural"
"Pittsylvania County","RE","Residential Estates District","Residential"
"Pittsylvania County","R-1","Residential Suburban Subdivision District","Residential"
"Pittsylvania County","RC-1","Residential Combined Subdivision District","Residential"
"Pittsylvania County","RMF","Residential Multi-Family District","Residential"
"Pittsylvania County","RPD","Residential Planned Unit Development District","Residential"
"Pittsylvania County","MHP","Residential Manufactured Housing Park District","Residential"
"Pittsylvania County","B-1","Business District, Limited","Commercial"
"Pittsylvania County","B-2","Business District, General","Commercial"
"Pittsylvania County","M-1","Industrial District, Light Industry","Industrial"
"Pittsylvania County","M-2","Industrial District, Heavy Industry","Industrial"
"Pittsylvania County","C-1","Conservation District","Conservation"
"Pittsylvania County","DZ","Unknown/Other","Other"
"Franklin County","A1","Agricultural District","Agricultural"
"Franklin County","RE","Residential Estates District","Residential"
"Franklin County","R1","Residential Suburban Subdivision District R-1","Residential"
"Franklin County","R2","Residential Suburban Subdivision District R-2","Residential"
"Franklin County","RC1","Residential Combined Subdivision District","Residential"
"Franklin County","C1","Residential Combined Subdivision District","Residential"
"Franklin County","RMF","Residential Multifamily District","Residential"
"Franklin County","RPD","Residential Planned Development District","Residential"
"Franklin County","B1","Business District, Limited","Commercial"
"Franklin County","B2","Business District, General","Commercial"
"Franklin County","GB","Business District, General","Commercial"
"Franklin County","M1","Industrial District, Light Industry","Industrial"
"Franklin County","M2","Industrial District, Heavy Industry","Industrial"
"Franklin County","PCD","Planned Commercial Development","Commercial"
"Franklin County","REP","Regional Enterprise Park District","Industrial"
"Franklin County","SML","Smith Mountain Lake Surface District","Overlay/Special"
"Franklin County","SM","Smith Mountain","Overlay/Special"
"Franklin County","POS","Parks/Open Space","Parks/Open Space"
"Franklin County","NZ","Not Zoned","Unzoned"
